City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Ahipara,NZ,2022-03-30 13:12:20,-35.1667,173.1667,64.06,90,15,2.95,few clouds
119,Whitehorse,CA,2022-03-30 13:12:21,60.7161,-135.0538,31.8,95,100,5.75,light snow
120,Flin Flon,CA,2022-03-30 13:12:21,54.7682,-101.865,14.45,97,99,3.38,overcast clouds
121,Nuevo Progreso,MX,2022-03-30 13:12:22,23.1667,-97.95,73.89,68,68,4.0,broken clouds
122,Henties Bay,NA,2022-03-30 13:12:22,-22.116,14.2845,67.12,79,17,10.78,few clouds
123,Chuy,UY,2022-03-30 13:12:22,-33.6971,-53.4616,61.09,46,97,17.25,overcast clouds
124,Marsh Harbour,BS,2022-03-30 13:12:23,26.5412,-77.0636,74.19,63,4,16.04,clear sky
125,Mackenzie,CA,2022-03-30 13:12:23,55.2999,-123.1698,32.07,97,99,3.24,overcast clouds
126,Bluff,NZ,2022-03-30 13:12:24,-46.6,168.3333,58.75,86,100,0.89,overcast clouds
127,Nikolskoye,RU,2022-03-30 13:12:24,59.7035,30.7861,33.78,66,96,10.36,light snow
128,Kloulklubed,PW,2022-03-30 13:12:25,7.0419,134.2556,79.3,81,100,11.68,overcast clouds
129,Esmeraldas,BR,2022-03-30 13:10:16,-19.7625,-44.3139,78.12,58,3,4.32,clear sky
130,Carnarvon,AU,2022-03-30 13:11:08,-24.8667,113.6333,78.87,78,100,9.22,overcast clouds
131,Vung Tau,VN,2022-03-30 13:12:26,10.346,107.0843,76.96,91,100,19.73,heavy intensity rain
132,Vila Velha,BR,2022-03-30 13:12:26,-20.3297,-40.2925,85.95,65,0,4.0,clear sky
133,Stephenville,US,2022-03-30 13:12:26,32.2207,-98.2023,58.15,92,0,6.91,clear sky
134,Falmouth,GB,2022-03-30 13:12:27,50.1544,-5.0711,54.18,76,20,11.5,few clouds
135,Chegem,RU,2022-03-30 13:12:27,43.2833,43.1333,39.33,82,100,5.53,overcast clouds
136,Komarikhinskiy,RU,2022-03-30 13:12:28,58.0979,57.1163,27.0,93,100,5.55,light snow
137,Portoroz,SI,2022-03-30 13:12:28,45.5143,13.5921,58.37,57,75,11.5,broken clouds
138,Meulaboh,ID,2022-03-30 13:12:28,4.1363,96.1285,79.18,79,100,2.13,overcast clouds
139,Chino Valley,US,2022-03-30 13:13:29,34.7575,-112.4538,43.97,87,0,3.0,clear sky
140,Butaritari,KI,2022-03-30 13:13:29,3.0707,172.7902,81.27,69,100,11.34,overcast clouds
141,Arraial Do Cabo,BR,2022-03-30 13:13:30,-22.9661,-42.0278,77.67,84,0,15.08,clear sky
142,Lorengau,PG,2022-03-30 13:13:30,-2.0226,147.2712,82.38,79,100,9.91,overcast clouds
143,Dillon,US,2022-03-30 13:08:42,34.4166,-79.3712,57.18,68,100,8.66,overcast clouds
144,Lavrentiya,RU,2022-03-30 13:13:31,65.5833,-171.0,-2.04,89,96,5.64,overcast clouds
145,Msowero,TZ,2022-03-30 13:09:16,-6.5333,37.2,72.79,95,100,5.23,moderate rain
146,Conde,BR,2022-03-30 13:13:31,-7.2597,-34.9075,82.62,70,100,12.3,overcast clouds
147,Novyy Urengoy,RU,2022-03-30 13:13:32,66.0833,76.6333,28.69,96,100,15.32,light snow
148,Cape Town,ZA,2022-03-30 13:08:51,-33.9258,18.4232,69.12,65,37,13.56,scattered clouds
149,Opuwo,NA,2022-03-30 13:13:32,-18.0607,13.84,88.97,24,14,4.23,few clouds
150,Namatanai,PG,2022-03-30 13:13:33,-3.6667,152.4333,80.55,82,28,6.31,scattered clouds
151,Vaini,TO,2022-03-30 13:13:33,-21.2,-175.2,73.56,88,20,3.44,few clouds
152,Foki,RU,2022-03-30 13:13:33,56.693,54.3499,30.34,89,100,9.01,overcast clouds
153,Iqaluit,CA,2022-03-30 13:13:34,63.7506,-68.5145,18.88,94,100,5.41,overcast clouds
154,Batagay-Alyta,RU,2022-03-30 13:13:34,67.8006,130.4114,-6.29,97,99,5.23,overcast clouds
155,Vanavara,RU,2022-03-30 13:13:34,60.34,102.2797,17.19,96,74,4.41,broken clouds
156,Saint-Georges,GD,2022-03-30 13:13:35,12.0564,-61.7485,83.88,58,20,17.27,few clouds
157,Grand Gaube,MU,2022-03-30 13:13:35,-20.0064,57.6608,79.38,77,65,5.01,broken clouds
158,Hillsborough,US,2022-03-30 13:13:35,37.5741,-122.3794,51.73,90,100,18.41,mist
159,Banjar,ID,2022-03-30 13:13:36,-8.19,114.9675,78.84,90,98,2.33,light rain
160,Uren,RU,2022-03-30 13:13:36,57.4552,45.7852,27.66,71,100,9.86,light snow
161,Narsaq,GL,2022-03-30 13:13:37,60.9167,-46.05,48.42,67,17,3.38,few clouds
162,Araouane,ML,2022-03-30 13:13:37,18.9048,-3.5265,101.05,3,9,6.2,clear sky
163,Lompoc,US,2022-03-30 13:13:38,34.6391,-120.4579,53.78,84,100,18.99,overcast clouds
164,Faanui,PF,2022-03-30 13:13:38,-16.4833,-151.75,81.66,75,97,15.01,light rain
165,Guozhen,CN,2022-03-30 13:13:38,34.3659,107.359,60.28,50,100,2.66,overcast clouds
166,Fairbanks,US,2022-03-30 13:13:39,64.8378,-147.7164,23.09,79,100,0.0,overcast clouds
167,Petropavlovsk-Kamchatskiy,RU,2022-03-30 13:13:39,53.0452,158.6483,28.99,64,75,8.95,broken clouds
168,Buala,SB,2022-03-30 13:13:40,-8.145,159.5921,80.96,80,100,1.66,overcast clouds
169,Puerto Leguizamo,CO,2022-03-30 13:13:40,-0.1934,-74.7819,73.04,92,92,1.74,overcast clouds
170,Harper,LR,2022-03-30 13:13:40,4.375,-7.7169,84.45,71,42,6.64,light rain
171,Faya,SA,2022-03-30 13:13:41,18.3851,42.4509,73.92,17,0,8.34,clear sky
172,Tiksi,RU,2022-03-30 13:13:41,71.6872,128.8694,0.34,99,100,2.95,overcast clouds
173,Livingston,GB,2022-03-30 13:11:24,55.9029,-3.5226,45.81,63,100,11.54,overcast clouds
174,Nanortalik,GL,2022-03-30 13:13:42,60.1432,-45.2371,35.19,76,19,1.32,few clouds
175,Khandyga,RU,2022-03-30 13:13:42,62.6667,135.6,-2.52,100,95,0.38,overcast clouds
176,Klaksvik,FO,2022-03-30 13:13:43,62.2266,-6.589,38.32,51,100,19.89,overcast clouds
177,Semnan,IR,2022-03-30 13:13:43,35.5729,53.3971,64.44,18,0,7.52,clear sky
178,Shenkursk,RU,2022-03-30 13:13:43,62.1091,42.896,26.38,73,100,7.34,light snow
179,Carmen,MX,2022-03-30 13:13:44,18.6333,-91.8333,77.04,78,0,18.41,clear sky
180,Muros,ES,2022-03-30 13:11:27,42.7762,-9.0603,61.09,72,19,15.08,few clouds
181,Touros,BR,2022-03-30 13:13:44,-5.1989,-35.4608,86.61,62,90,16.58,overcast clouds
182,Souillac,MU,2022-03-30 13:13:44,-20.5167,57.5167,77.83,82,100,11.5,light rain
183,Fukue,JP,2022-03-30 13:13:45,32.6881,128.8419,63.03,92,100,10.78,overcast clouds
184,Dingle,PH,2022-03-30 13:14:45,10.9995,122.6711,79.39,76,18,6.29,few clouds
185,Hamilton,US,2022-03-30 13:14:45,39.1834,-84.5333,54.99,52,40,12.66,scattered clouds
186,Coquimbo,CL,2022-03-30 13:14:46,-29.9533,-71.3436,55.13,94,75,4.61,haze
187,Salvador,SV,2022-03-30 13:14:46,13.8333,-88.9167,73.06,77,100,0.34,overcast clouds
188,Sant Julia De Loria,AD,2022-03-30 13:14:47,42.4625,1.4825,53.1,83,100,4.32,overcast clouds
189,Blackfoot,US,2022-03-30 13:14:47,43.1905,-112.345,38.55,56,16,4.09,few clouds
190,Pramanta,GR,2022-03-30 13:14:47,39.5231,21.1014,60.21,51,97,8.16,overcast clouds
191,Vincennes,FR,2022-03-30 13:14:48,48.85,2.4333,57.65,77,100,5.75,overcast clouds
192,Padilla,CO,2022-03-30 13:14:48,3.2204,-76.3139,69.37,88,90,1.32,overcast clouds
193,Kahului,US,2022-03-30 13:14:49,20.8947,-156.47,75.85,73,40,4.61,scattered clouds
194,Sibi,PK,2022-03-30 13:14:49,29.5448,67.8764,94.96,3,0,18.14,clear sky
195,Bengkulu,ID,2022-03-30 13:14:50,-3.8004,102.2655,80.6,79,100,6.69,overcast clouds
196,Annau,TM,2022-03-30 13:14:50,37.8876,58.516,69.71,25,0,14.67,clear sky
197,Saint-Pierre,RE,2022-03-30 13:14:50,-21.3393,55.4781,82.08,74,0,32.21,clear sky
198,Wanning,CN,2022-03-30 13:14:51,18.8003,110.3967,75.56,92,10,5.32,clear sky
199,Havre-Saint-Pierre,CA,2022-03-30 13:14:51,50.2334,-63.5986,33.37,72,100,17.05,overcast clouds
200,Villa Bruzual,VE,2022-03-30 13:14:51,9.3328,-69.1208,84.04,53,88,3.89,overcast clouds
201,Hofn,IS,2022-03-30 13:14:52,64.2539,-15.2082,33.94,64,32,3.24,scattered clouds
202,Portland,US,2022-03-30 13:10:37,45.5234,-122.6762,48.18,81,100,9.22,overcast clouds
203,Pisco,PE,2022-03-30 13:14:52,-13.7,-76.2167,68.05,77,91,3.44,mist
204,Dzerzhinsk,RU,2022-03-30 13:14:53,56.2389,43.4631,30.02,63,75,8.95,light snow
205,Gushikawa,JP,2022-03-30 13:14:53,26.3544,127.8686,72.63,96,75,11.5,broken clouds
206,Roald,NO,2022-03-30 13:14:53,62.5833,6.1333,41.92,86,100,1.14,overcast clouds
207,Mahibadhoo,MV,2022-03-30 13:14:54,3.7833,72.9667,83.25,67,12,0.36,few clouds
208,Cabo San Lucas,MX,2022-03-30 13:11:51,22.8909,-109.9124,65.52,80,14,8.28,few clouds
209,Houma,US,2022-03-30 13:14:54,29.5958,-90.7195,73.99,87,75,23.02,broken clouds
210,Victoria,HK,2022-03-30 13:13:19,22.2855,114.1577,76.17,77,1,11.01,clear sky
211,Tautira,PF,2022-03-30 13:14:55,-17.7333,-149.15,81.19,75,63,14.74,light rain
212,Dikson,RU,2022-03-30 13:14:55,73.5069,80.5464,22.48,88,98,9.4,overcast clouds
213,Sabha,LY,2022-03-30 13:14:56,27.0377,14.4283,92.82,5,100,12.95,overcast clouds
214,Ozinki,RU,2022-03-30 13:14:56,51.1786,49.6769,36.55,100,100,8.25,overcast clouds
215,Jutai,BR,2022-03-30 13:14:57,-5.1833,-68.9,75.33,91,86,1.81,overcast clouds
216,Roma,US,2022-03-30 13:14:05,43.2128,-75.4557,27.37,76,0,4.61,clear sky
217,Bonthe,SL,2022-03-30 13:14:57,7.5264,-12.505,85.08,68,100,10.94,overcast clouds
218,Kaeo,NZ,2022-03-30 13:14:57,-35.1,173.7833,60.33,94,37,2.59,scattered clouds
219,Geraldton,AU,2022-03-30 13:14:58,-28.7667,114.6,75.61,83,100,3.44,overcast clouds
220,Asfi,MA,2022-03-30 13:14:58,32.2994,-9.2372,62.04,69,96,12.41,overcast clouds
221,Guerrero Negro,MX,2022-03-30 13:10:25,27.9769,-114.0611,56.8,80,2,14.56,clear sky
222,Airai,TL,2022-03-30 13:14:59,-8.9266,125.4092,61.0,96,100,1.74,overcast clouds
223,Bathsheba,BB,2022-03-30 13:14:59,13.2167,-59.5167,83.01,65,20,24.16,few clouds
224,Ilulissat,GL,2022-03-30 13:14:59,69.2167,-51.1,26.62,80,40,6.91,fog
225,Brenham,US,2022-03-30 13:15:00,30.1669,-96.3977,71.06,88,100,24.16,heavy intensity rain
