City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Yulara,AU,80.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
446,Nabire,ID,76.14,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
448,Ratnagiri,IN,83.71,clear sky,16.9833,73.3,Hotel Landmark
450,Cockburn Town,TC,75.7,clear sky,21.4612,-71.1419,Osprey Beach Hotel
456,Tura,IN,74.19,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
458,Parrita,CR,79.36,overcast clouds,9.5201,-84.3225,Beso del Viento
460,Porbandar,IN,82.33,clear sky,21.6422,69.6093,Lords Inn Porbandar
465,Lingao,CN,74.41,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
467,Hwange,ZW,82.2,light rain,-18.3693,26.5019,Hwange Colliery Guest House
468,Itarema,BR,83.35,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
470,Jacareacanga,BR,75.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
474,Belgaum,IN,84.51,clear sky,15.8667,74.5,Hotel Rakshit International
478,Paraguacu Paulista,BR,80.08,clear sky,-22.4128,-50.5758,Hotel Água das Araras
479,Gasa,PS,70.88,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
481,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
483,Belmonte,BR,83.59,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
486,Isangel,VU,79.9,overcast clouds,-19.55,169.2667,Tanna Lodge
492,Celestun,MX,75.47,broken clouds,20.8667,-90.4,Posada Lilia
498,Ternate,ID,81.03,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
505,Dickinson,US,74.16,haze,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
508,Fare,PF,81.25,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
509,Mana,GF,80.06,overcast clouds,5.6592,-53.7767,LE SAMANA
510,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
511,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
518,Bandarbeyla,SO,82.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
519,Canutama,BR,75.96,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
521,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
522,Sechura,PE,72.18,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
526,Inongo,CD,77.92,overcast clouds,-1.95,18.2667,Hotel Du Lac
528,Catemaco,MX,72.86,clear sky,18.4167,-95.1167,Hotel Playa Cristal
531,San Policarpo,PH,79.97,clear sky,12.1791,125.5072,Agapita M. Nicart
533,Udayagiri,IN,81.82,clear sky,20.1333,84.3833,Hotel Disha
534,Graaff-Reinet,ZA,80.92,overcast clouds,-32.2522,24.5308,Rietjiesbos Self Catering
540,Puerto Baquerizo Moreno,EC,77.68,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
541,Trairi,BR,83.77,scattered clouds,-3.2778,-39.2689,janelas do mar
542,Miramar,US,79.02,clear sky,25.9873,-80.2323,Stadium Hotel
544,Fasa,IR,78.04,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
547,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
552,Kimberley,ZA,82.09,scattered clouds,-28.7323,24.7623,Welgewandel Guesthouse
556,Saldanha,ZA,73.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
564,Hobyo,SO,84.51,clear sky,5.3505,48.5268,Iftin hotel hobyo
566,Sabang,ID,83.12,clear sky,5.8933,95.3214,Hotel Citra
567,Jiwani,PK,81.79,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
568,Hirara,JP,74.64,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
571,Moerai,PF,80.28,broken clouds,-22.4333,-151.3333,Le Manotel
582,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
584,Waingapu,ID,77.22,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
589,Ambilobe,MG,82.54,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
597,Fonte Boa,BR,74.23,overcast clouds,-2.4959,-66.2662,
600,Pietersburg,ZA,77.85,few clouds,-23.9045,29.4688,Fusion Boutique Hotel
601,Karratha,AU,84.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
603,Aliwal North,ZA,80.98,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
605,Maba,CN,70.56,clear sky,24.6841,113.5984,Huayi Traders Hotel
606,Jalu,LY,79.95,clear sky,29.0331,21.5482,صاحبة الفخامة
610,Wattegama,LK,77.22,few clouds,6.7989,81.4808,
612,Santa Vitoria,BR,82.26,clear sky,-18.8386,-50.1214,Center Hotel
616,Mehran,IR,83.82,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
618,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
